filename,description
600016.zip,Abertamy [600016]
600032.zip,Adamov u Českých Budějovic [600032]
663409.zip,Adamov u Karlovic [663409]
771473.zip,Adamov u Tupadel [771473]
600041.zip,Adamov [600041]
601756.zip,Adolfovice [601756]
691003.zip,Ahníkov [691003]
702919.zip,Alberovice [702919]
600075.zip,Albeř [600075]
917923.zip,Albeřice u Hradiště [917923]
600172.zip,Albrechtice nad Orlicí [600172]
600229.zip,Albrechtice nad Vltavou [600229]
600121.zip,Albrechtice u Českého Těšína [600121]
625981.zip,Albrechtice u Frýdlantu [625981]
600113.zip,Albrechtice u Lanškrouna [600113]
600091.zip,Albrechtice u Mostu [600091]
742406.zip,Albrechtice u Rozsoch [742406]
614980.zip,Albrechtice u Rýmařova [614980]
759694.zip,Albrechtice u Sušice [759694]
600288.zip,Albrechtice v Jizerských horách [600288]
600083.zip,Albrechtice [600083]
600300.zip,Albrechtičky [600300]
789101.zip,Albrechtovice [789101]
655821.zip,Alexovice [655821]
774707.zip,Alojzov u Prostějova [774707]
719072.zip,Alšovice [719072]
796077.zip,Alžbětín [796077]
600326.zip,Andělka [600326]
653811.zip,Andělská Hora u Chrastavy [653811]
760412.zip,Andělská Hora ve Slezsku [760412]
600369.zip,Andělská Hora [600369]
600377.zip,Anenská Studánka [600377]
661511.zip,Antonínov [661511]
757900.zip,Antonínův Důl [757900]
600393.zip,Antošovice [600393]
600407.zip,Archlebov [600407]
600415.zip,Arneštovice [600415]
715816.zip,Arnoldov [715816]
600423.zip,Arnolec [600423]
616176.zip,Arnoltice u Bulovky [616176]
650099.zip,Arnoltice u Huzové [650099]
600431.zip,Arnoltice [600431]
670421.zip,Arnoltov [670421]
665525.zip,Arnoštka [665525]
991694.zip,Arnoštov u Českého Krumlova [991694]
600466.zip,Arnoštovice [600466]
660329.zip,Arnultovice u Jindřichova [660329]
688380.zip,Arnultovice u Lučního Chvojna [688380]
707147.zip,Arnultovice u Nového Boru [707147]
743381.zip,Arnultovice [743381]
704962.zip,Artolec [704962]
600521.zip,Aš [600521]
777358.zip,Babákov [777358]
630551.zip,Babčice [630551]
765384.zip,Babětín [765384]
701297.zip,Babí u Náchoda [701297]
600598.zip,Babí [600598]
600695.zip,Babice nad Svitavou [600695]
641375.zip,Babice u Holubče [641375]
600687.zip,Babice u Kelče [600687]
600636.zip,Babice u Lesonic [600636]
655244.zip,Babice u Netolic [655244]
709620.zip,Babice u Okrouhlice [709620]
726630.zip,Babice u Poutnova [726630]
600709.zip,Babice u Rosic [600709]
744930.zip,Babice u Řehenic [744930]
600661.zip,Babice u Šternberka [600661]
600652.zip,Babice u Uherského Hradiště [600652]
600601.zip,Babice [600601]
641871.zip,Babín u Horažďovic [641871]
765821.zip,Babín [765821]
721506.zip,Babina [721506]
641715.zip,Babiny I [641715]
641693.zip,Babiny II [641693]
651575.zip,Babolky [651575]
600717.zip,Babylon [600717]
600725.zip,Bácovice [600725]
694991.zip,Bačalky [694991]
600741.zip,Bačetín [600741]
600768.zip,Bačice [600768]
600784.zip,Bačkov [600784]
600814.zip,Bačkovice [600814]
600822.zip,Bačov [600822]
748625.zip,Bahna [748625]
620254.zip,Bahno [620254]
600831.zip,Bakov nad Jizerou [600831]
603198.zip,Bakov [603198]
600849.zip,Baliny [600849]
737925.zip,Balkova Lhota [737925]
767069.zip,Balková [767069]
628336.zip,Balkovy [628336]
600857.zip,Banín [600857]
600865.zip,Bánov [600865]
600873.zip,Báňovice [600873]
600881.zip,Bantice [600881]
600903.zip,Barchov u Pardubic [600903]
600890.zip,Barchov [600890]
600911.zip,Barchovice [600911]
600946.zip,Barchůvek [600946]
651389.zip,Barovice [651389]
600954.zip,Bartoňov [600954]
600989.zip,Bartošovice v Orlických horách [600989]
600971.zip,Bartošovice [600971]
659631.zip,Bartoušov u Jičíněvsi [659631]
695734.zip,Bartoušov [695734]
715085.zip,Bartovice [715085]
787990.zip,Bartultovice [787990]
601047.zip,Bařice [601047]
601063.zip,Baška [601063]
601101.zip,Bašnice [601101]
601128.zip,Bašť [601128]
601144.zip,Batelov [601144]
601152.zip,Batňovice [601152]
606812.zip,Batouchovice [606812]
601179.zip,Bavorov [601179]
639583.zip,Bavorovice [639583]
601209.zip,Bavory [601209]
601217.zip,Bavoryně [601217]
680109.zip,Bažantov [680109]
671975.zip,Bdeněves [671975]
601225.zip,Bdín [601225]
691267.zip,Bečice nad Lužnicí [691267]
797014.zip,Bečice [797014]
602744.zip,Bečkov [602744]
601268.zip,Bečov nad Teplou [601268]
601233.zip,Bečov u Mostu [601233]
605352.zip,Bečov [605352]
601292.zip,Bečváry [601292]
601331.zip,Bedihošť [601331]
653110.zip,Bedlno [653110]
601349.zip,Bednárec [601349]
601357.zip,Bednáreček [601357]
644153.zip,Bedřichov u Horní Stropnice [644153]
601365.zip,Bedřichov u Jablonce nad Nisou [601365]
659878.zip,Bedřichov u Jihlavy [659878]
713121.zip,Bedřichov u Oskavy [713121]
792934.zip,Bedřichov u Zhořce [792934]
762962.zip,Bedřichov v Krkonoších [762962]
601373.zip,Bedřichov [601373]
649082.zip,Bedřichovice u Hříškova [649082]
601381.zip,Bedřichovice [601381]
712167.zip,Bedřichovka [712167]
602035.zip,Bedřichův Světec [602035]
633411.zip,Běhánky [633411]
601390.zip,Běhařov [601390]
601420.zip,Běhařovice [601420]
601462.zip,Běchary [601462]
601471.zip,Bechlín [601471]
601501.zip,Bechov [601501]
601527.zip,Běchovice [601527]
601543.zip,Bechyně [601543]
